Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
128,World of Quest 234,PS2,2015,Misc,Activision,1.7,0.18,0.13,0.28,2.29
129,Call of Kart 237,PS3,2012,Misc,Nintendo,1.4,0.46,0.32,0.1,2.28
130,Halo Warfare 485,PS,2002,Misc,Take-Two Interactive,0.7,0.2,1.33,0.05,2.28
131,Halo Combat 136,PS,2001,Action,Nintendo,0.79,1.15,0.24,0.1,2.28
132,World of Kart 201,X360,2010,Action,Bandai Namco Entertainment,0.85,0.1,1.24,0.07,2.26
133,Final Warfare 427,X360,1983,Platform,Capcom,1.61,0.17,0.3,0.16,2.24
134,Mario Legacy 282,NES,2004,Platform,Sony Computer Entertainment,1.18,0.06,0.75,0.25,2.24
135,Halo Legacy 452,PS2,2007,Shooter,Activision,1.64,0.39,0.1,0.1,2.23
136,Super Legacy 319,PS4,2012,Role-Playing,Take-Two Interactive,1.18,0.73,0.26,0.03,2.2
137,The Legend of Quest 431,X360,1982,Sports,Sony Computer Entertainment,0.53,1.26,0.39,0.02,2.2
138,The Legend of Fantasy 103,DS,2002,Fighting,Sega,1.58,0.17,0.39,0.04,2.18
139,Super Legacy 97,Wii,1984,Platform,Sony Computer Entertainment,0.96,0.03,0.99,0.18,2.16
140,Halo Adventure 321,Wii,2010,Role-Playing,Bandai Namco Entertainment,1.15,0.27,0.58,0.15,2.15
141,Halo Warfare 294,PS4,2012,Role-Playing,Bandai Namco Entertainment,0.91,0.59,0.1,0.55,2.15
142,Grand Duty 36,PS4,1996,Action,Sony Computer Entertainment,1.07,0.54,0.46,0.08,2.15
143,The Legend of Duty 17,PS2,1984,Action,Electronic Arts,0.26,1.75,0.02,0.12,2.15
144,Super Kart 240,DS,1984,Misc,Nintendo,1.09,0.34,0.55,0.17,2.15
145,World of Combat 137,X360,2009,Shooter,Nintendo,1.66,0.22,0.02,0.24,2.14
146,Super Fantasy 363,PS2,2001,Sports,Ubisoft,0.07,0.51,1.07,0.49,2.14
147,The Legend of Fantasy 66,PS,2009,Shooter,Electronic Arts,1.37,0.3,0.39,0.07,2.13
148,The Legend of Duty 381,PS2,2005,Sports,Bandai Namco Entertainment,0.99,0.22,0.81,0.11,2.13
149,Super Combat 266,X360,1980,Sports,Ubisoft,0.99,0.72,0.33,0.08,2.12
150,Super Warfare 391,XB,2004,Role-Playing,Activision,0.48,0.04,1.48,0.12,2.12
151,Final Kart 235,PS4,1992,Racing,Sega,1.64,0.25,0.18,0.04,2.11
152,Grand Combat 179,PC,2013,Shooter,Bandai Namco Entertainment,1.72,0.13,0.05,0.21,2.11
153,Super Fantasy 333,NES,2010,Shooter,Electronic Arts,0.18,1.6,0.22,0.1,2.1
154,Call of Kart 244,PS3,1992,Misc,Sony Computer Entertainment,0.57,1.33,0.04,0.16,2.1
155,The Legend of Fantasy 420,DS,1998,Fighting,Take-Two Interactive,1.04,0.47,0.13,0.45,2.09
156,Final Legacy 2,X360,1988,Fighting,Bandai Namco Entertainment,0.02,1.68,0.03,0.35,2.08
157,The Legend of Quest 19,PS,1980,Action,Sega,0.84,0.56,0.46,0.22,2.08
158,Call of Quest 202,X360,2016,Shooter,Nintendo,0.64,0.59,0.33,0.5,2.06
159,Call of Kart 476,X360,2008,Misc,Capcom,0.98,0.77,0.3,0.01,2.06
160,Call of Kart 249,PS4,1988,Platform,Capcom,0.8,1.01,0.06,0.19,2.06
161,Mario Kart 58,PS4,2010,Misc,Bandai Namco Entertainment,1.18,0.06,0.49,0.31,2.04
162,Halo Fantasy 405,Wii,2001,Action,Electronic Arts,0.86,0.8,0.3,0.08,2.04
163,World of Adventure 155,PS4,1986,Misc,Electronic Arts,0.2,0.47,1.26,0.07,2.0
164,Super Quest 481,Wii,1999,Misc,Electronic Arts,0.87,0.68,0.34,0.11,2.0
165,The Legend of Warfare 223,X360,1983,Action,Sony Computer Entertainment,1.28,0.07,0.18,0.47,2.0
166,Grand Warfare 350,DS,2004,Role-Playing,Activision,0.03,1.55,0.32,0.09,1.99
167,Mario Fantasy 251,NES,1988,Sports,Electronic Arts,0.8,0.78,0.08,0.33,1.99
168,Halo Legacy 55,X360,2011,Shooter,Nintendo,0.55,0.8,0.62,0.02,1.99
169,Call of Duty 272,X360,1993,Action,Sony Computer Entertainment,1.64,0.04,0.18,0.11,1.97
170,Super Warfare 125,PS4,1985,Sports,Capcom,1.63,0.02,0.24,0.08,1.97
171,The Legend of Kart 117,Wii,2011,Role-Playing,Activision,0.62,0.62,0.57,0.16,1.97
172,Call of Adventure 224,3DS,1998,Racing,Sony Computer Entertainment,0.86,0.87,0.13,0.1,1.96
173,Mario Duty 312,3DS,2012,Platform,Sega,0.37,1.09,0.27,0.23,1.96
174,Grand Kart 52,3DS,1992,Platform,Sega,0.24,0.55,0.85,0.31,1.95
175,Grand Duty 432,NES,2011,Shooter,Capcom,1.65,0.15,0.04,0.11,1.95
176,Halo Quest 207,3DS,1981,Shooter,Ubisoft,1.03,0.71,0.05,0.15,1.94
177,Call of Duty 133,XB,2006,Action,Take-Two Interactive,1.17,0.47,0.19,0.11,1.94
178,Mario Kart 28,3DS,1992,Role-Playing,Sega,0.87,0.48,0.07,0.51,1.93
179,World of Legacy 486,PS3,1991,Fighting,Capcom,1.62,0.08,0.18,0.05,1.93
180,Mario Combat 394,PS3,2003,Role-Playing,Nintendo,1.05,0.73,0.15,0.0,1.93
181,Super Quest 402,PC,1996,Sports,Sony Computer Entertainment,0.33,0.38,0.93,0.28,1.92
182,Super Fantasy 67,PS3,2009,Role-Playing,Activision,1.29,0.14,0.44,0.05,1.92
183,The Legend of Duty 45,PS,1989,Role-Playing,Capcom,0.67,1.02,0.12,0.1,1.91
184,Grand Duty 318,PS3,1989,Platform,Sega,1.2,0.66,0.01,0.04,1.91
185,Mario Duty 98,PS3,2013,Role-Playing,Capcom,0.28,1.36,0.25,0.02,1.91
186,Call of Adventure 268,PS,2008,Racing,Capcom,0.7,0.35,0.71,0.14,1.9
187,Halo Legacy 412,Wii,2002,Racing,Electronic Arts,0.84,0.53,0.15,0.38,1.9
188,World of Combat 219,XB,2005,Racing,Take-Two Interactive,0.91,0.37,0.37,0.23,1.88
189,Final Adventure 243,X360,1981,Misc,Electronic Arts,1.43,0.12,0.3,0.02,1.87
190,Halo Legacy 142,XB,1987,Racing,Sega,1.07,0.28,0.46,0.05,1.86
191,Mario Warfare 96,X360,2003,Shooter,Take-Two Interactive,0.03,1.31,0.33,0.19,1.86
192,The Legend of Quest 362,PC,1993,Action,Nintendo,0.58,1.13,0.1,0.04,1.85
193,Grand Quest 83,Wii,2012,Action,Activision,0.94,0.43,0.18,0.29,1.84
194,Super Kart 80,PS2,1994,Misc,Activision,1.05,0.21,0.09,0.47,1.82
195,World of Legacy 56,X360,2013,Action,Nintendo,0.73,0.29,0.55,0.24,1.81
196,World of Fantasy 86,X360,2009,Shooter,Capcom,0.54,0.72,0.2,0.34,1.8
197,The Legend of Kart 118,XOne,1998,Racing,Nintendo,1.25,0.06,0.25,0.22,1.78
198,Final Kart 370,X360,2015,Shooter,Capcom,0.94,0.57,0.22,0.05,1.78
199,Final Warfare 383,PS,1981,Action,Capcom,1.0,0.54,0.03,0.21,1.78
200,World of Legacy 175,PS2,1982,Racing,Electronic Arts,1.21,0.04,0.48,0.05,1.78
201,Mario Warfare 135,PC,2005,Fighting,Nintendo,0.52,0.92,0.32,0.01,1.77
202,Call of Warfare 429,PS3,1987,Racing,Take-Two Interactive,0.46,0.99,0.28,0.03,1.76
203,Super Combat 239,NES,1989,Misc,Sega,0.33,1.26,0.13,0.04,1.76
204,World of Warfare 390,PC,2003,Fighting,Sony Computer Entertainment,1.36,0.01,0.36,0.03,1.76
205,Final Warfare 228,X360,1991,Platform,Sony Computer Entertainment,1.45,0.18,0.06,0.07,1.76
206,Call of Kart 359,PC,2010,Shooter,Activision,0.66,0.31,0.19,0.6,1.76
207,The Legend of Combat 186,PS,1985,Fighting,Nintendo,0.13,0.39,1.23,0.01,1.76
208,Final Duty 38,NES,2010,Fighting,Ubisoft,0.74,0.53,0.16,0.32,1.75
209,Mario Fantasy 327,Wii,1984,Role-Playing,Sega,1.27,0.38,0.03,0.07,1.75
210,Call of Legacy 21,DS,2011,Action,Ubisoft,0.18,1.01,0.47,0.09,1.75
211,The Legend of Duty 154,XOne,1993,Role-Playing,Electronic Arts,0.91,0.51,0.18,0.14,1.74
212,Final Combat 150,X360,1993,Role-Playing,Take-Two Interactive,0.01,0.99,0.63,0.1,1.73
213,Final Fantasy 386,XB,2006,Racing,Nintendo,1.35,0.05,0.13,0.19,1.72
214,Final Combat 384,X360,1986,Shooter,Activision,1.29,0.1,0.29,0.03,1.71
215,Call of Fantasy 108,XOne,1987,Sports,Electronic Arts,0.73,0.47,0.25,0.26,1.71
216,Mario Warfare 450,Wii,1982,Platform,Sega,0.54,0.92,0.17,0.08,1.71
217,Grand Quest 190,XOne,2000,Platform,Sega,0.62,0.2,0.67,0.2,1.69
218,Mario Quest 81,XOne,2006,Sports,Capcom,1.31,0.24,0.1,0.03,1.68
219,Mario Duty 5,Wii,1992,Misc,Sony Computer Entertainment,0.8,0.51,0.31,0.06,1.68
220,Final Adventure 114,XB,1982,Misc,Bandai Namco Entertainment,1.03,0.57,0.05,0.02,1.67
221,Super Kart 250,PS2,1996,Sports,Bandai Namco Entertainment,0.24,0.82,0.58,0.03,1.67
222,The Legend of Duty 311,PS,2006,Platform,Nintendo,0.84,0.07,0.33,0.43,1.67
223,Final Combat 63,PC,1991,Racing,Bandai Namco Entertainment,0.93,0.25,0.39,0.1,1.67
224,The Legend of Fantasy 408,NES,1980,Action,Sega,1.02,0.46,0.02,0.16,1.66
225,Call of Warfare 230,3DS,2005,Racing,Bandai Namco Entertainment,0.91,0.22,0.52,0.01,1.66
226,Call of Fantasy 456,PS2,2011,Shooter,Take-Two Interactive,0.72,0.42,0.48,0.03,1.65
227,Final Adventure 484,PS,1982,Role-Playing,Ubisoft,1.31,0.23,0.07,0.04,1.65
228,Grand Duty 53,NES,1983,Role-Playing,Activision,0.72,0.82,0.09,0.02,1.65
229,Call of Warfare 76,PS3,2013,Misc,Ubisoft,0.47,1.0,0.1,0.08,1.65
230,Call of Combat 442,X360,2008,Sports,Nintendo,0.11,1.39,0.01,0.13,1.64
231,World of Duty 255,PS4,2014,Action,Bandai Namco Entertainment,1.15,0.1,0.36,0.02,1.63
232,The Legend of Quest 176,X360,1997,Racing,Bandai Namco Entertainment,0.34,1.12,0.15,0.02,1.63
233,Mario Combat 415,XOne,2009,Fighting,Sega,0.06,1.32,0.04,0.21,1.63
234,Call of Legacy 6,X360,2007,Platform,Capcom,0.24,1.01,0.02,0.33,1.6
235,The Legend of Quest 122,PS3,2007,Fighting,Bandai Namco Entertainment,0.77,0.33,0.38,0.1,1.58
236,World of Quest 322,PS3,2015,Racing,Electronic Arts,0.79,0.33,0.22,0.23,1.57
237,Mario Duty 33,PS,2000,Action,Sega,0.59,0.58,0.31,0.09,1.57
238,World of Kart 82,PS4,2013,Sports,Bandai Namco Entertainment,0.86,0.25,0.43,0.02,1.56
239,Final Adventure 332,PS,2006,Fighting,Sega,0.45,0.81,0.25,0.05,1.56
240,Grand Quest 64,XOne,1980,Action,Take-Two Interactive,0.46,0.59,0.21,0.3,1.56
241,World of Quest 29,XB,2012,Fighting,Sega,0.15,1.02,0.27,0.12,1.56
242,The Legend of Duty 283,3DS,2004,Racing,Nintendo,0.92,0.51,0.1,0.02,1.55
243,Halo Combat 229,NES,1980,Shooter,Nintendo,0.96,0.15,0.37,0.07,1.55
244,Super Duty 256,XOne,2009,Platform,Sony Computer Entertainment,0.62,0.59,0.22,0.11,1.54
245,Halo Fantasy 328,3DS,2008,Racing,Take-Two Interactive,0.53,0.12,0.72,0.17,1.54
246,Mario Adventure 26,PS4,2001,Platform,Sega,0.73,0.57,0.17,0.06,1.53
247,Mario Duty 356,Wii,2016,Role-Playing,Take-Two Interactive,0.55,0.92,0.02,0.04,1.53
248,Final Fantasy 440,PS3,2011,Fighting,Sega,0.8,0.39,0.2,0.13,1.52
249,Super Adventure 247,Wii,1980,Sports,Sega,0.77,0.24,0.35,0.16,1.52
250,The Legend of Combat 218,PS2,1987,Role-Playing,Electronic Arts,0.34,0.92,0.23,0.02,1.51
251,Super Duty 375,PS4,1988,Role-Playing,Take-Two Interactive,0.81,0.04,0.03,0.6,1.48
252,Grand Warfare 368,NES,2000,Role-Playing,Take-Two Interactive,0.11,0.67,0.1,0.6,1.48
253,World of Warfare 10,Wii,1985,Role-Playing,Nintendo,0.6,0.55,0.28,0.05,1.48
254,Call of Warfare 196,PS3,2009,Shooter,Take-Two Interactive,0.11,0.66,0.64,0.06,1.47
255,World of Duty 493,PS2,2014,Misc,Nintendo,0.03,1.09,0.15,0.2,1.47
256,Final Legacy 91,PS3,1989,Misc,Nintendo,0.98,0.11,0.23,0.15,1.47
257,Final Kart 451,XB,2012,Platform,Take-Two Interactive,0.23,0.66,0.34,0.23,1.46
258,Final Kart 397,PS3,2001,Shooter,Nintendo,0.23,0.12,0.71,0.39,1.45
259,The Legend of Warfare 281,3DS,1983,Fighting,Bandai Namco Entertainment,0.54,0.29,0.4,0.22,1.45
260,Super Adventure 343,XB,1987,Role-Playing,Nintendo,0.4,0.67,0.27,0.11,1.45
261,Final Combat 436,XOne,2013,Role-Playing,Bandai Namco Entertainment,0.72,0.65,0.05,0.03,1.45
262,Grand Warfare 454,X360,2013,Action,Nintendo,0.58,0.36,0.47,0.03,1.44
263,Super Warfare 463,PS3,2000,Fighting,Nintendo,1.19,0.0,0.14,0.11,1.44
264,Grand Duty 439,XOne,2007,Sports,Take-Two Interactive,0.78,0.1,0.1,0.45,1.43
265,Mario Warfare 220,PS2,1984,Role-Playing,Capcom,0.67,0.49,0.11,0.15,1.42
266,Mario Adventure 435,DS,1998,Misc,Sega,0.26,0.92,0.23,0.01,1.42
267,Mario Quest 253,PS,1994,Sports,Sega,1.21,0.04,0.1,0.07,1.42
268,World of Kart 46,XOne,1998,Sports,Take-Two Interactive,0.52,0.76,0.01,0.12,1.41
269,Halo Kart 112,PS3,1982,Role-Playing,Capcom,0.95,0.06,0.13,0.27,1.41
270,The Legend of Fantasy 471,DS,2002,Racing,Bandai Namco Entertainment,0.33,0.4,0.66,0.02,1.41
271,The Legend of Kart 141,PC,1980,Platform,Capcom,0.44,0.86,0.02,0.08,1.4
272,Mario Adventure 371,XOne,2002,Misc,Bandai Namco Entertainment,1.29,0.02,0.0,0.09,1.4
273,Grand Legacy 62,PS,1982,Racing,Electronic Arts,0.55,0.23,0.03,0.59,1.4
274,Final Combat 252,PC,1990,Action,Activision,0.62,0.18,0.54,0.05,1.39
275,The Legend of Legacy 157,PS4,2002,Action,Ubisoft,1.23,0.13,0.01,0.02,1.39
276,Halo Adventure 163,X360,2007,Action,Bandai Namco Entertainment,0.76,0.59,0.03,0.01,1.39
277,Super Legacy 380,X360,2004,Shooter,Nintendo,0.62,0.18,0.1,0.48,1.38
